Academic Yr,Degree Level Desc,Degree Desc,Headcount
2015-16,Doctoral,Joint Doctor of Philosophy,17
2015-16,Doctoral,Juris Scientiae Doctor,9
2015-16,Masters/Professional,Doctor of Optometry,60
2015-16,Masters/Professional,Juris Doctor,332
2015-16,Masters/Professional,Master Adv Study Integ Circuit,1
2015-16,Masters/Professional,Master of Architecture,39
2015-16,Masters/Professional,Master of Arts,319
2015-16,Masters/Professional,Master of Business Admin,560
2015-16,Masters/Professional,Master of City Planning,51
2015-16,Masters/Professional,Master of Development Practice,27
2015-16,Masters/Professional,Master of Engineering,184
2015-16,Masters/Professional,Master of Financial Eng,68
2015-16,Masters/Professional,Master of Fine Arts,6
2015-16,Masters/Professional,Master of Info & Data Science,98
2015-16,Masters/Professional,Master of Info Mgmt & Systems,48
2015-16,Masters/Professional,Master of Journalism,68
2015-16,Masters/Professional,Master of Landscape Arch,27
2015-16,Masters/Professional,Master of Laws,309
2015-16,Masters/Professional,Master of Public Health,206
2015-16,Masters/Professional,Master of Public Policy,89
2015-16,Masters/Professional,Master of Science,465
2015-16,Masters/Professional,Master of Social Welfare,94
2015-16,Masters/Professional,Master of Translational Med,14
2015-16,Masters/Professional,Master of Urban Design,6
2016-17,Bachelor,Bachelor of Arts,5890
2016-17,Bachelor,Bachelor of Science,2010
2016-17,Doctoral,Doctor of Education,10
2016-17,Doctoral,Doctor of Philosophy,769
2016-17,Doctoral,Doctor of Public Health,3
2016-17,Doctoral,Joint Doctor of Philosophy,28
2016-17,Doctoral,Juris Scientiae Doctor,8
2016-17,Masters/Professional,Doctor of Optometry,58
2016-17,Masters/Professional,Juris Doctor,306
2016-17,Masters/Professional,Master Adv Study Integ Circuit,1
2016-17,Masters/Professional,Master of Architecture,59
2016-17,Masters/Professional,Master of Arts,241
2016-17,Masters/Professional,Master of Business Admin,551
2016-17,Masters/Professional,Master of City Planning,44
2016-17,Masters/Professional,Master of Development Practice,23
2016-17,Masters/Professional,Master of Engineering,265
2016-17,Masters/Professional,Master of Financial Eng,68
2016-17,Masters/Professional,Master of Forestry,4
2016-17,Masters/Professional,Master of Info & Data Science,109
2016-17,Masters/Professional,Master of Info Mgmt & Systems,42
2016-17,Masters/Professional,Master of Journalism,49
2016-17,Masters/Professional,Master of Landscape Arch,21
2016-17,Masters/Professional,Master of Laws,299
2016-17,Masters/Professional,Master of Public Affairs,22
2016-17,Masters/Professional,Master of Public Health,177
2016-17,Masters/Professional,Master of Public Policy,87
2016-17,Masters/Professional,Master of Science,431
2016-17,Masters/Professional,Master of Social Welfare,93
2016-17,Masters/Professional,Master of Translational Med,14
2016-17,Masters/Professional,Master of Urban Design,8
2017-18,Bachelor,Bachelor of Arts,6172
2017-18,Bachelor,Bachelor of Science,2013
2017-18,Doctoral,Doctor of Education,7
2017-18,Doctoral,Doctor of Philosophy,826
2017-18,Doctoral,Doctor of Public Health,6
2017-18,Doctoral,Joint Doctor of Philosophy,26
2017-18,Doctoral,Juris Scientiae Doctor,5
2017-18,Masters/Professional,Doctor of Optometry,62
2017-18,Masters/Professional,Joint Master of Science,2
2017-18,Masters/Professional,Juris Doctor,309
2017-18,Masters/Professional,Master Adv Study Integ Circuit,2
2017-18,Masters/Professional,Master of Architecture,48
2017-18,Masters/Professional,Master of Arts,332
2017-18,Masters/Professional,Master of Business Admin,550
2017-18,Masters/Professional,Master of City Planning,41
2017-18,Masters/Professional,Master of Development Practice,22
2017-18,Masters/Professional,Master of Engineering,286
2017-18,Masters/Professional,Master of Financial Eng,69
2017-18,Masters/Professional,Master of Fine Arts,12
2017-18,Masters/Professional,Master of Forestry,2
2017-18,Masters/Professional,Master of Info & Data Science,171
2017-18,Masters/Professional,Master of Info Mgmt & Systems,49
2017-18,Masters/Professional,Master of Journalism,55
2017-18,Masters/Professional,Master of Landscape Arch,27
2017-18,Masters/Professional,Master of Laws,343
2017-18,Masters/Professional,Master of Public Affairs,32
2017-18,Masters/Professional,Master of Public Health,235
2017-18,Masters/Professional,Master of Public Policy,90
2017-18,Masters/Professional,Master of Science,513
2017-18,Masters/Professional,Master of Social Welfare,89
2017-18,Masters/Professional,Master of Translational Med,52
2017-18,Masters/Professional,Master of Urban Design,9
2018-19,Bachelor,Bachelor of Arts,6479
2018-19,Bachelor,Bachelor of Science,2223
2018-19,Doctoral,Doctor of Education,3
2018-19,Doctoral,Doctor of Philosophy,834
2018-19,Doctoral,Doctor of Public Health,9
2018-19,Doctoral,Joint Doctor of Philosophy,21
2018-19,Doctoral,Juris Scientiae Doctor,10
2018-19,Masters/Professional,Doctor of Optometry,66
2018-19,Masters/Professional,Joint Master of Science,1
2018-19,Masters/Professional,Juris Doctor,329
2018-19,Masters/Professional,Master Adv Study Integ Circuit,9
2018-19,Masters/Professional,Master of Architecture,55
2018-19,Masters/Professional,Master of Arts,307
2018-19,Masters/Professional,Master of Business Admin,579
2018-19,Masters/Professional,Master of City Planning,55
2018-19,Masters/Professional,Master of Development Practice,29
2018-19,Masters/Professional,Master of Engineering,427
2018-19,Masters/Professional,Master of Financial Eng,79
2018-19,Masters/Professional,Master of Fine Arts,5
2018-19,Masters/Professional,Master of Forestry,2
2018-19,Masters/Professional,Master of Info & Data Science,218
2018-19,Masters/Professional,Master of Info Mgmt & Systems,48
2018-19,Masters/Professional,Master of Journalism,55
